Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
11,5 August 201408:00,F9 v1.1,"CCSFS,SLC-40",AsiaSat 8,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,No attempt,,,,,First time SpaceX managed a launch site turnaround between two flights of under a month (22 days). GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.
12,7 September 201405:00,F9 v1.1B1011,"CCSFS,SLC-40",AsiaSat 6,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,No attempt,,,,,Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of theF9R Dev1prototype.GTO launch of the heavy payload did not allow for controlled splashdown.
13,21 September 201405:52,F9 v1.1B1010,"CCSFS,SLC-40",SpaceX CRS-4(Dragon C106.1),"2,216 kg (4,885 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Uncontrolled(ocean)[c],,,,,"Fourth attempt of a soft ocean touchdown,but the booster ran out of liquid oxygen.Detailedthermal imaginginfrared sensor data was collected however by NASA, as part of a joint arrangement with SpaceX as part of research onretropropulsive deceleration technologiesfor developing new approaches to Martianatmospheric entry."
14,10 January 201509:47,F9 v1.1B1012,"CCSFS,SLC-40",SpaceX CRS-5(Dragon C107),"2,395 kg (5,280 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Failure(drone ship),,,,,"Following second-stage separation, SpaceX attempted toreturnthe first stage for the first time to a 90 m × 50 m (300 ft × 160 ft)floating platform— called theautonomous spaceport drone ship. The test achieved many objectives and returned a large amount of data, but thegrid-fincontrol surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing, resulting in a landing crash."
15,11 February 201523:03,F9 v1.1B1013,"CCSFS,SLC-40",DSCOVR,"570 kg (1,260 lb)",Sun–Earth L1insertion,USAFNASANOAA,Success,Controlled(ocean)[c],,,,,"First launch under USAF'sOSP3 launch contract.First SpaceX launch to put a satellite beyond a geostationary transfer orbit, first SpaceX launch into interplanetary space, and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target.The satellite launched into a 187 km x 1,241,000 km insertion orbit toward the Sun-Earth L1point."
16,2 March 201503:50,F9 v1.1B1014,"CCSFS,SLC-40",ABS-3AEutelsat 115 West B,"4,159 kg (9,169 lb)",GTO,ABSEutelsat,Success,No attempt,,,,,"The launch was Boeing's first conjoined launch of alighter-weight dual-commsat stackthat was specifically designed to take advantage of thelower-costSpaceX Falcon 9 launch vehicle.Per satellite, launch costs were less than US$30 million.The ABS satellite reached its final destination ahead of schedule and started operations on 10 September 2015."
17,14 April 201520:10,F9 v1.1B1015,"CCSFS,SLC-40",SpaceX CRS-6(DragonC108.1),"1,898 kg (4,184 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Failure(drone ship),,,,,"After second-stage separation, a controlled-descent test was attempted with the first stage. After the booster contacted the ship, it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time."
18,27 April 201523:03,F9 v1.1B1016,"CCSFS,SLC-40",TürkmenÄlem 52°E / MonacoSAT,"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency,Success,No attempt,,,,,Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant.Subsequent launch successfully positioned this first Turkmen satellite at 52.0° east.
19,28 June 201514:21,F9 v1.1B1018,"CCSFS,SLC-40",SpaceX CRS-7(Dragon C109),"1,952 kg (4,303 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Failure(in flight),Precluded(drone ship),,,,,"Launch performance was nominal until an overpressure incident in the second-stageLOXtank, leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure.(more details)The drone shipOf Course I Still Love Youwas towed out to sea to prepare for a landing test so this mission was its first operational assignment."
20,22 December 201501:29,F9 FTB1019,"CCSFS,SLC-40",Orbcomm-OG2-2(11 satellites),"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,Success(ground pad),,,,,"Payload included eleven satellites weighing 172 kg (379 lb) each,and a 142 kg (313 lb) mass simulator.First launch of the upgraded v1.1 version, with a 30% power increase.Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket,but the change to the maiden flight position was announced in October 2015.SpaceX received a permit from theFAAto land the boosteron solid ground at SpaceX Landing Zone 1atCape Canaveraland succeeded for the first time ever in its history on this maiden ground landing attempt.This booster, serial numberB1019, is now on permanent display outside SpaceX's headquarters inHawthorne, California, at the intersection of Crenshaw Boulevard and Jack Northrop Avenue.(more details)"
21,17 January 201618:42,F9 v1.1B1017,"VSFB,SLC-4E",Jason-3,"553 kg (1,219 lb)",LEO,NASA(LSP)NOAACNES,Success,Failure(drone ship),,,,,"First launch of NASA and NOAA joint science mission under theNLS IIlaunch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. TheJason-3satellite was successfully deployed to target orbit.SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship, but after a soft landing on the ship, the lockout on one of the landing legs failed to latch and the booster fell over and exploded."
22,4 March 201623:35,F9 FTB1020,"CCSFS,SLC-40",SES-9,"5,271 kg (11,621 lb)",GTO,SES,Success,Failure(drone ship),,,,,"Second launch of the enhancedFalcon 9 Full Thrustlaunch vehicle.SpaceX attempted for the first time to recover a booster from a GTO launch to adrone ship.Successful landing was not expected due to low fuel reservesand the booster ""landed hard"".But the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters."
23,8 April 201620:43,F9 FTB1021.1,"CCSFS,SLC-40",SpaceX CRS-8(Dragon C110.1),"3,136 kg (6,914 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),,,,,"Dragon carried over 1,500 kg (3,300 lb) of supplies and delivered the inflatableBigelow Expandable Activity Module(BEAM) to the ISS for two years of in-orbit tests.The rocket's first stage landed smoothly on SpaceX'sautonomous spaceport drone shipat 9 minutes after liftoff, making this the first successful landing of a rocket booster on a ship at sea from an orbital launch.The first stageB1021later became the first orbital booster to be reused when it launchedSES-10on 30 March 2017.A month later, the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS.(more details)"
24,6 May 201605:21,F9 FTB1022,"CCSFS,SLC-40",JCSAT-14,"4,696 kg (10,353 lb)",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),,,,,"First time SpaceX launched a Japanese satellite, and first time a booster landed successfully after launching a payload into a GTO.As this flight profile has a smaller margin for the booster recovery, the first stage re-entered Earth's atmosphere faster than for previous landings, with five times the heating power."
25,27 May 201621:39,F9 FTB1023.1,"CCSFS,SLC-40",Thaicom 8,"3,100 kg (6,800 lb)",GTO,Thaicom,Success,Success(drone ship),,,,,"Second successful return from a GTO launch,after launching Thaicom 8 towards78.5° east.Later became the first booster to be reflown after being recovered from a GTO launch. THAICOM 8 was delivered to asupersynchronous transfer orbitof 91,000 km (57,000 mi)."
26,15 June 201614:29,F9 FTB1024,"CCSFS,SLC-40",ABS-2AEutelsat 117 West B,"3,600 kg (7,900 lb)",GTO,ABSEutelsat,Success,Failure(drone ship),,,,,"One year after pioneering this technique on Flight 16, Falcon again launched twoBoeing 702SPgridded ion thrustersatellites at 1,800 kg (4,000 lb) each,in a dual-stack configuration, with the two customers sharing the rocket and mission costs.First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines;a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship,slamming to the drone ship, breaking a leg, and falling over."
27,18 July 201604:45,F9 FTB1025.1,"CCSFS,SLC-40",SpaceX CRS-9(Dragon C111.1),"2,257 kg (4,976 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),,,,,"Cargo to ISS included anInternational Docking Adapter(IDA-2) and total payload with reusable Dragon Capsule was 6,457 kg (14,235 lb). Second successfulfirst-stage landingon a ground pad."
28,14 August 201605:26,F9 FTB1026,"CCSFS,SLC-40",JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),,,,,"First attempt to land from a ballistic trajectory using a single-engine landing burn, as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses, while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections."
29,14 January 201717:54,F9 FTB1029.1,"VSFB,SLC-4E",Iridium NEXT-1(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,Success(drone ship),,,,,"Return-to-flight mission after the loss ofAMOS-6in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace theoriginal Iridium constellationlaunched in the late 1990s. Each Falcon 9 mission carried 10 satellites, with a goal of 66 plus 9 sparesatellites constellation by mid-2018.Following the delayed launch of the first two Iridium units with aDnepr rocketfrom April 2016, Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead.Payload comprised ten satellites weighing 860 kg (1,900 lb) each plus a 1,000 kg (2,200 lb) dispenser."
30,19 February 201714:39,F9 FTB1031.1,"KSC,LC-39A",SpaceX CRS-10(Dragon C112.1),"2,490 kg (5,490 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),,,,,"First Falcon 9 flight from the historicLC-39Alaunchpad atKennedy Space Center, and first uncrewed launch from LC-39A sinceSkylab-1.The flight carried supplies and materials to support ISS Expeditions50and51, and third return of first stage booster to landing pad atCape CanaveralLanding Zone 1."
31,16 March 201706:00,F9 FTB1030,"KSC,LC-39A",EchoStar 23,"5,600 kg (12,300 lb)",GTO,EchoStar,Success,No attempt,,,,,"First uncrewed non-station launch from LC-39A sinceApollo 6.Launched a communications satellite for broadcast services overBrazil.Due to the payload size launch into a GTO, the booster was expended into theAtlantic Oceanand did not feature landing legs and grid fins."
32,30 March 201722:27,F9 FT♺B1021.2,"KSC,LC-39A",SES-10,"5,300 kg (11,700 lb)",GTO,SES,Success,Success(drone ship),,,,,"First payload to fly on a reused first stage, B1021, previously launched withCRS-8, and first to land intact a second time.Additionally, this flight was the first reused rocket to fly from LC-39A sinceSTS-135and for the first time thepayload fairing, used to protect the payload during launch, remained intact after a successfulsplashdownachieved with thrusters and a steerable parachute.(more details)"
33,1 May 201711:15,F9 FTB1032.1,"KSC,LC-39A",NROL-76,Classified,LEO,NRO,Success,Success(ground pad),,,,,"First launch under SpaceX's 2015, certification for national security space missions, which allowed SpaceX to contract launch services for classified payloads,and thus breaking the monopolyUnited Launch Alliance(ULA) held on classified launches since 2006.For the first time, SpaceX offered continuous livestream of first stage booster from liftoff to landing, but omitted second-stage speed and altitude telemetry."
34,15 May 201723:21,F9 FTB1034.1,"KSC,LC-39A",Inmarsat-5 F4,"6,070 kg (13,380 lb)",GTO,Inmarsat,Success,No attempt,,,,,"The launch was originally scheduled for the Falcon Heavy, butperformance improvementsallowed the mission to be carried out by an expendable Falcon 9 instead.Inmarsat-5 F4 is Inmarsat's ""largest and most complicated communications satellite ever built"".Inmarsat 5 F4 was delivered into an arcingsupersynchronous transfer orbitof 381 km × 68,839 km (237 mi × 42,775 mi) in altitude, tilted 24.5° to theequator."
35,3 June 201721:07,F9 FTB1035.1,"KSC,LC-39A",SpaceX CRS-11(Dragon C106.2 ♺ ),"2,708 kg (5,970 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),,,,,"This mission deliveredNeutron Star Interior Composition Explorer(NICER),Multiple User System for Earth Sensing Facility (MUSES),Roll Out Solar Array(ROSA),anAdvanced Plant Habitatto the ISS,andBirds-1payloads. This mission launched for the first time a refurbished Dragon capsule,serial numberC106, which had flown in September 2014, on theSpaceX CRS-4mission,and was the first time since 2011, a reused spacecraft arrived at the ISS.Fivecubesatswere included in the payload, the first satellites from the countries ofBangladesh(BRAC Onnesha),Ghana(GhanaSat-1), andMongolia(Mazaalai)."
36,23 June 201719:10,F9 FT♺B1029.2,"KSC,LC-39A",BulgariaSat-1,"3,669 kg (8,089 lb)",GTO,Bulsatcom,Success,Success(drone ship),,,,,"Second time a booster was reused, asB1029had flown the Iridium mission in January 2017.This was the first commercial Bulgarian-owned communications satellite."
37,25 June 201720:25,F9 FTB1036.1,"VSFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,Success(drone ship),,,,,"Second Iridium constellation launch of 10 satellites, and first flight usingtitanium(instead ofaluminium) grid fins to improve control authority and better cope with heat during re-entry."
38,5 July 201723:38,F9 FTB1037.1,"KSC,LC-39A",Intelsat 35e,"6,761 kg (14,905 lb)",GTO,Intelsat,Success,No attempt,,,,,"Originally expected to be flown on aFalcon Heavy,improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9.The rocket achieved asupersynchronous orbitpeaking at 43,000 km (27,000 mi), exceeding the minimum requirements of 28,000 km (17,000 mi).Intelsat 35e is the largest Intelsat's currently active satellite."
39,14 August 201716:31,F9 B4B1039.1,"KSC,LC-39A",SpaceX CRS-12(Dragon C113.1),"3,310 kg (7,300 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),,,,,"Dragon carried 2,349 kg (5,179 lb) of pressurized and 961 kg (2,119 lb) unpressurized mass, including theCosmic Ray Energetics and Mass Experiment(CREAM) detector.First flight of the upgrade known informally as ""Block 4"", which increases thrust from the main engines and includes other small upgrades,and last flight of a newly built Dragon capsule, as further missions are planned to use refurbished spacecraft.Also launched theEducational Launch of NanosatellitesELaNa 22 mission."
40,24 August 201718:51,F9 FTB1038.1,"VSFB,SLC-4E",Formosat-5,"475 kg (1,047 lb)",SSO,NSPO,Success,Success(drone ship),,,,,"FirstEarth observation satellitedeveloped and constructed byTaiwan. The payload was much under the rocket's specifications, as theSpaceflight IndustriesSHERPAspace tughad been removed from the cargo manifest of this mission,leading to analyst speculations that with discounts due to delays, SpaceX lost money on the launch."
41,7 September 201714:00,F9 B4B1040.1,"KSC,LC-39A",Boeing X-37BOTV-5,"4,990 kg (11,000 lb)+ OTV payload",LEO,USAF,Success,Success(ground pad),,,,,"Due to the classified nature of the mission, the second-stage speed and altitude telemetry were omitted from the launch webcast. It was the third flight of second X-37B. It was fastest turnaround of a X-37B by 2nd X-37B at 123 days. Notably, the primary contractor,Boeing, had launched the X-37B with ULA, a Boeing partnership and a SpaceX competitor.Second flight of theFalcon 9 Block 4upgrade."
42,9 October 201712:37,F9 B4B1041.1,"VSFB,SLC-4E",Iridium NEXT-3(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,Success(drone ship),,,,,"Third flight of theFalcon 9 Block 4upgrade, and the third launch of 10 Iridium NEXT satellites."
43,11 October 201722:53:00,F9 FT♺B1031.2,"KSC,LC-39A",SES-11/EchoStar 105,"5,400 kg (11,900 lb)",GTO,SES S.A.EchoStar,Success,Success(drone ship),,,,,"Third reuse and recovery of a previously flown first-stage booster, and the second time the contractor SES used a reflown booster.The large satellite is shared, in ""CondoSat"" arrangement between SES andEchoStar."
44,30 October 201719:34,F9 B4B1042.1,"KSC,LC-39A",Koreasat 5A,"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,Success(drone ship),,,,,"First SpaceX launch of a South Korean satellite, placed in GEO at 113.0° east.It was the third launch and land for SpaceX in three weeks, and the 15th successful landing in a row.A small fire was observed under the booster after it landed, leading to speculations about damages to the engines which would preclude it from flying it again."
45,15 December 201715:36,F9 FT♺B1035.2,"CCSFS,SLC-40",SpaceX CRS-13(Dragon C108.2 ♺ ),"2,205 kg (4,861 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),,,,,"First launch to take place at the refurbished pad at Cape Canaveral after the 2016,AMOS-6explosion, and the 20th successful booster landing. Being the second reuse of a Dragon capsule (previously flown onSpaceX CRS-6) and fourth reuse of a booster (previously flown onSpaceX CRS-11) it was the first time both major components were reused on the same flight."
46,23 December 201701:27,F9 FT♺B1036.2,"VSFB,SLC-4E",Iridium NEXT-4(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,Controlled(ocean)[c],,,,,"In order to avoid delays and convinced of no increased risks, Iridium Communications accepted the use of a recovered booster for its 10 satellites, and became the first customer to fly the same first-stage booster twice (from the second Iridium NEXT mission).SpaceX chose not to attempt recovery of the booster, but did perform a soft ocean touchdown."
47,8 January 201801:00,F9 B4B1043.1,"CCSFS,SLC-40",Zuma,Classified,LEO,Northrop Grumman[e],Success,Success(ground pad),,,,,"The mission had been postponed by nearly two months. Following a nominal launch, the recovery of the first-stage booster marked the 17th successful recovery in a row.Rumors appeared that the payload was lost, as the satellite might have failed to separate from the second stage due to a fault in the Northrop Grumman-manufactured payload adapter, to which SpaceX announced that their rocket performed nominally.The classified nature of the mission means that there is little confirmed information.(more details)"
48,31 January 201821:25,F9 FT♺B1032.2,"CCSFS,SLC-40",GovSat-1(SES-16),"4,230 kg (9,330 lb)",GTO,SES,Success,Controlled(ocean)[c],,,,,"Reused booster from the classifiedNROL-76mission in May 2017.Following a successful experimental soft ocean landing that used three engines, the booster unexpectedly remained intact. Despite initial talk about a potential recovery effort, the decision was instead made to intentionally destroy and sink the booster.GovSat-1 satellite was put into a high-energySupersynchronous Transfer Orbitof 250 km × 51,500 km (160 mi × 32,000 mi)."
49,22 February 201814:17,F9 FT♺B1038.2,"VSFB,SLC-4E",PazTintin A and Tintin B,"2,150 kg (4,740 lb)",SSO,HisdesatexactEarthSpaceX,Success,No attempt,,,,,"Last flight of aBlock 3first stage. Reused the booster from theFormosat-5mission.Paz (peace) is Spain's first spy satellitethat will be operated in a constellation with the German SAR fleetTSXandTDX.In addition, the rocket carried two SpaceX test satellites for their forthcomingcommunications network in low Earth orbit.This core flew without landing legs and was expended at sea.It also featured an upgraded payload fairing 2.0 with a first recovery attempt using theMr. Stevencrew boat equipped with a net. The fairing narrowly missed the boat, but achieved a soft water landing."
50,6 March 201805:33,F9 B4B1044.1,"CCSFS,SLC-40",Hispasat 30W-6PODSat,"6,092 kg (13,431 lb)",GTO,HispasatNovaWurks,Success,Controlled(ocean)[c],,,,,"The Spanish commsat was the largest satellite flown by SpaceX as of March 2018[update], ""nearly the size of a bus"".A drone ship landing was planned, but scrapped due to unfavorable weather conditions. After stage separation, the first stage booster successfully conducted an ocean landing in the Atlantic Ocean.SpaceX left the landing legs and titanium grid fins in place to prevent further delays, after previous concerns with the fairing pressurization and conflicts with the Atlas V launch ofGOES-S.The Hispasat 30W-6 satellite was propelled into asupersynchronous transfer orbit."
51,30 March 201814:14,F9 B4♺B1041.2,"VSFB,SLC-4E",Iridium NEXT-5(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,No attempt,,,,,"Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters, SpaceX used the controlled descent of the first stage to test more booster recovery options.SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boatMr. Steven,but the parafoil twisted, which led to the fairing half missing the boat."
52,2 April 201820:30,F9 B4♺B1039.2,"CCSFS,SLC-40",SpaceX CRS-14(Dragon C110.2 ♺ ),"2,647 kg (5,836 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,No attempt,,,,,"The launch used a refurbished booster (fromCRS-12) and a refurbished capsule (C110 fromCRS-8).External payloads include a materials research platformMaterials International Space Station Experiment(MISSE-FF)phase 3 of theRobotic Refueling Mission(RRM)TSIS,ASIM heliophysics sensor,several crystallization experiments,and theRemoveDEBRISsystem aimed atspace debrisremoval.The booster was expended, and SpaceX collected more data on reentry profiles.It also carried the firstCosta Ricansatellite,Project Irazú,and the firstKenyansatellite,1KUNS-PF."
53,18 April 201822:51,F9 B4B1045.1,"CCSFS,SLC-40",Transiting Exoplanet Survey Satellite(TESS),362 kg (798 lb),HEOforP/2 orbit,NASA(LSP),Success,Success(drone ship),,,,,"First NASA high-priority science mission launched by SpaceX. Part of theExplorers program, TESS isspace telescopeintended for wide-field search ofexoplanetstransiting nearby stars. It was the first time SpaceX launched a scientific satellite which wasn't designed to focus onEarth observations. The second stage placed the spacecraft into a high ellipticalEarthorbit, after which the satellite performed its own maneuvers, including a lunar flyby, such that over the course of two months it reached a stable 2:1 resonant orbit with the Moon.In January 2018, SpaceX received NASA'sLaunch Services ProgramCategory 2 certification of its Falcon 9 ""Full Thrust"", certification which is required for launching ""medium-risk"" missions like TESS.Last launch of a new Block 4 booster,and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery, primarily as a test of parachute systems."
54,11 May 201820:14,F9 B5B1046.1,"KSC,LC-39A",Bangabandhu-1,"3,600 kg (7,900 lb)",GTO,Thales-Alenia/BTRC,Success,Success(drone ship),,,,,"FirstBlock 5launch vehicle booster to fly. Initially planned for anAriane 5launch in December 2017,it became the first Bangladeshi commercial satellite,BRAC Onneshais a cubesat built byThales Alenia Space.It is intended to serve telecom services from 119.0° east with a lifetime of 15 years.It was the 25th successfully recovered first stage booster."
55,22 May 201819:47,F9 B4♺B1043.2,"VSFB,SLC-4E",Iridium NEXT-6(5 satellites)GRACE-FO× 2,"6,460 kg (14,240 lb)[f]",PolarLEO,Iridium CommunicationsGFZ•NASA,Success,No attempt,,,,,"Sixth Iridium NEXT mission launching 5 satellites used the refurbished booster from Zuma. GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of theirDneprlaunch contract in 2015.Iridium CEO Matt Desch disclosed in September 2017, that GRACE-FO would be launched on this mission.The booster reuse turnaround was a record 4.5 months between flights."
56,4 June 201804:45,F9 B4♺B1040.2,"CCSFS,SLC-40",SES-12,"5,384 kg (11,870 lb)",GTO,SES,Success,No attempt,,,,,"The communications satellite serving the Middle East and the Asia-Pacific region at the same place asSES-8, and was the largest satellite built for SES.The Block 4 first stage was expended,while the second stage was a Block 5 version, delivering more power towards a highersupersynchronous transfer orbitwith 58,000 km (36,000 mi) apogee."
57,29 June 201809:42,F9 B4♺B1045.2,"CCSFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺ ),"2,697 kg (5,946 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,No attempt,,,,,"Payload includedMISSE-FF 2,ECOSTRESS, aLatching End Effector, andBirds-2payloads. The refurbished booster featured a record 2.5 months period turnaround from its original launch of TESS, a record held until February 2020, with the Starlink L4 mission. The fastest previous was 4.5 months. This was the last flight of a Block 4 booster, which was expended into theAtlantic Oceanwithout landing legs and grid fins."
